review_rank,source_index,date,model_partition,pca_reconstruction_error,anomaly_score_ratio,is_final_pca_anomaly,anomaly_score_margin,anomaly_score_excess_pct,anomaly_direction,anomaly_severity,track_id,artist,country,streams,position,severity_rank,is_high_priority_review,priority_score
994,2117942,2022-12-08,Test,0.2490011794317171,2.6162120275306147,True,0.15382495639954036,161.62120275306145,Positive,Very High,3CsYuAe0Oi7t9w1jxWfHob,['Kaho Hung'],hk,71916,39,3,True,6.540530068826537
995,68462,2022-10-20,Test,0.2489304964094941,2.6154693733259076,True,0.15375427337731737,161.54693733259074,Negative,Very High,05tLudzJAr4iHnDiWWdA59,['Thrife'],se,632358,11,3,True,6.538673433314769
996,542182,2022-03-31,Test,0.2487468576238227,2.61353991258644,True,0.15357063459164597,161.35399125864402,Negative,Very High,0qELCtMR31qphCvyVq9Vua,['T. Danny'],hu,52512,38,3,True,6.5338497814661
997,3681957,2016-11-24,Training,0.24858126044273376,2.6118000118442875,True,0.15340503741055703,161.18000118442873,Negative,Very High,5aAx2yezTd8zXrkmtKl66Z,"['The Weeknd', 'Daft Punk']",ch,132729,2,3,True,6.529500029610719
998,5030120,2016-11-24,Training,0.24858126044273376,2.6118000118442875,True,0.15340503741055703,161.18000118442873,Negative,Very High,7MXVkk9YMctZqd1Srtv4MB,"['The Weeknd', 'Daft Punk']",ch,132729,2,3,True,6.529500029610719
999,2905470,2014-01-12,Training,0.24857079982757568,2.611690103982588,True,0.15339457679539895,161.16901039825882,Negative,Very High,4RXpgGM7A4Hg7cFBoH5KyF,['Avicii'],fr,104043,6,3,True,6.529225259956471
1000,737000,2015-09-10,Training,0.24841463565826416,2.6100493142523766,True,0.15323841262608742,161.00493142523766,Positive,Very High,190kU2WKyIzx9XaBjfWRPk,['JJ Lin'],tw,11588,180,3,True,6.525123285630942
1001,343462,2017-09-14,Training,0.24830284714698792,2.6088747718329066,True,0.15312662411481118,160.88747718329066,Negative,Very High,0XLOf9LhyazPX9Ld8jPiUq,"['Selena Gomez', 'Gucci Mane']",mt,4683,51,3,True,6.522186929582267
1002,3835692,2021-03-18,Validation,0.24828100204467773,2.6086452491473637,True,0.153104779012501,160.86452491473636,Positive,Very High,5nujrmhLynf4yMoMtj8AQF,"['Dua Lipa', 'DaBaby']",ma,14632,171,3,True,6.521613122868409
1003,3989442,2019-08-08,Validation,0.24809955060482025,2.606738770469426,True,0.1529233275726435,160.6738770469426,Positive,Very High,624AL3EwsrgGIp6bdwmXgo,"['Duki', 'KHEA']",uy,20611,78,3,True,6.5168469261735655
1004,4910500,2017-04-06,Training,0.247996985912323,2.605661141107494,True,0.15282076288014626,160.56611411074942,Negative,Very High,7DRP2VOMpy1rrk3iYFLCW9,"['DENNIS', 'MC Nandinho', 'Nego Bam']",py,21162,42,3,True,6.514152852768735
1005,2471286,2015-09-10,Training,0.24787455797195435,2.604374812059458,True,0.1526983349397776,160.4374812059458,Positive,Very High,3ip2477VESffCtFkPFT0ov,"['Gente De Zona', 'Marc Anthony']",do,9114,38,3,True,6.510937030148645
1006,3034498,2020-07-16,Validation,0.2478564828634262,2.6041849000420205,True,0.15268025983124947,160.41849000420206,Negative,Very High,4dZsxlUWfHgpmIKIGQy9kR,['SNIK'],gr,31431,90,3,True,6.510462250105052
1007,1883355,2016-11-10,Training,0.2478112429380417,2.6037095720247567,True,0.15263501990586495,160.37095720247567,Negative,Very High,2sNvitW3TxiTeC9xT9f2ZZ,"['Kygo', 'Conrad Sewell']",sg,23997,157,3,True,6.509273930061892
1008,4443112,2018-04-12,Training,0.24780957400798798,2.6036920368673346,True,0.15263335097581124,160.36920368673347,Negative,Very High,6d3sJyECf0XccpnosXyxT7,"['Ermal Meta', 'Fabrizio Moro']",it,467134,44,3,True,6.509230092168337
1009,3721604,2015-09-10,Training,0.2476818561553955,2.6023501276328265,True,0.15250563312321877,160.23501276328264,Negative,Very High,5eWgDlp3k6Tb5RD8690s6I,['Maroon 5'],bo,6684,12,3,True,6.505875319082066
1010,2285287,2017-04-13,Training,0.24764187633991241,2.6019300666742238,True,0.15246565330773568,160.19300666742237,Negative,Very High,3TygxF9PiIiiyL97jSH6JL,['Fiorella Mannoia'],it,107397,111,3,True,6.50482516668556
1011,5384363,2015-07-23,Training,0.24764123558998108,2.601923334426285,True,0.15246501255780434,160.19233344262852,Positive,Very High,7xBWOrE5vHJi9fdfcXIy9Z,"['Louane', 'Tristan Salvati']",be,10291,163,3,True,6.504808336065713
1012,5409125,2015-07-02,Training,0.2476252168416977,2.6017550282278137,True,0.15244899380952096,160.17550282278137,Positive,Very High,7yq4Qj7cqayVTp3FF9CWbm,['Vance Joy'],my,10394,115,3,True,6.504387570569534
1013,2423998,2018-10-25,Training,0.24761264026165009,2.601622888291526,True,0.15243641722947335,160.1622888291526,Negative,Very High,3ee8Jmje8o58CHK66QrVC2,['XXXTENTACION'],ca,600111,33,3,True,6.504057220728815
1014,2351616,2020-01-16,Validation,0.24756725132465363,2.6011459946352065,True,0.1523910282924769,160.11459946352065,Positive,Very High,3ZCTVFBt2Brf31RLEnCkWJ,['Billie Eilish'],pt,135317,20,3,True,6.502864986588016
1015,1933916,2015-10-01,Training,0.24740849435329437,2.5994779627854285,True,0.15223227132111763,159.94779627854285,Negative,Very High,2wkkIIpStIybMcEkAGGEEA,"['Morgan Sulele', 'Katastrofe']",no,49436,172,3,True,6.498694906963571
1016,3527705,2015-09-24,Training,0.24735216796398163,2.5988861512224326,True,0.1521759449318049,159.88861512224327,Positive,Very High,5Nbe9vDQ1YJdreVIlhZEpP,"['Sam Smith', 'John Legend']",my,16586,76,3,True,6.497215378056081
1017,4009415,2021-12-23,Test,0.2473028338281618,2.5983678060491515,True,0.15212661079598505,159.83678060491516,Positive,Very High,63VOJDNJ3a5dve74kzWVcF,['Patrickananda'],th,377463,5,3,True,6.495919515122878
1018,3776520,2014-04-06,Training,0.24729806184768677,2.5983176676813637,True,0.15212183881551003,159.83176676813636,Positive,Very High,5jrdCoLpJSvHHorevXBATy,"['Katy Perry', 'Juicy J']",cr,7667,1,3,True,6.49579416920341
1019,4959445,2015-07-23,Training,0.24728921055793762,2.5982246687214645,True,0.15211298752576088,159.82246687214646,Positive,Very High,7GWU6dQFjYF5YpsAUwZfGq,['Racoon'],nl,5941,230,3,True,6.495561671803661
1020,2522691,2022-04-07,Test,0.2472777319086846,2.598104064552825,True,0.15210150887650786,159.8104064552825,Negative,Very High,3pC3gQ9YLBBVDgjzPdbF08,['Aka 7even'],it,462079,98,3,True,6.495260161382062
1021,38176,2021-09-02,Test,0.24718115929223022,2.597089392890327,True,0.15200493626005349,159.70893928903268,Negative,Very High,03LfOYi0icz4souspZVVhq,"['Bizarrap', 'Nicky Jam']",bo,31006,79,3,True,6.492723482225817
1022,4154853,2015-09-10,Training,0.24717967212200165,2.5970737674517332,True,0.1520034490898249,159.70737674517332,Positive,Very High,6GRDI9suQHikFP6euIXnpq,['Family of the Year'],tr,13183,130,3,True,6.492684418629333
1023,949678,2021-01-07,Validation,0.2469957321882248,2.595141142601568,True,0.15181950915604805,159.5141142601568,Negative,Very High,1YSjp4pscPTOHaw2lyKVTA,"['Pezet', 'Kayah']",pl,225680,50,3,True,6.4878528565039195
1024,1918123,2022-07-14,Test,0.24696827374767982,2.594852641548782,True,0.15179205071550309,159.4852641548782,Negative,Very High,2vHzOWRKYPLu8umRPIFuOq,"['KALUSH', 'Kalush Orchestra']",lt,19700,25,3,True,6.487131603871955
1025,4732201,2019-10-31,Validation,0.24689191579818726,2.5940503618715693,True,0.15171569276601052,159.40503618715692,Negative,Very High,70SyyW2Z1A5UNY3g8bPo5I,"['Ngô Kiến Huy', 'Masew']",vn,61756,20,3,True,6.485125904678924
1026,4319230,2023-02-23,Test,0.2467166620092713,2.5922090008327237,True,0.15154043897709457,159.22090008327237,Negative,Very High,6TYFXyFTDZ6qwFPuBJfWpK,"['Emma Steinbakken', 'Hver gang vi møtes']",no,910180,2,3,True,6.48052250208181
1027,1223940,2016-06-16,Training,0.2465187907218933,2.5901300016764837,True,0.15134256768971657,159.01300016764836,Negative,Very High,1xznGGDReH1oQq0xzbwXa3,"['Drake', 'Wizkid', 'Kyla']",nz,320778,1,3,True,6.475325004191209
