database_track_id,source_track_id,database_track_name,track_id,artists,name
11847,02Z6xD2aeJjqdzYG4pWQwr,不完美小孩,02Z6xD2aeJjqdzYG4pWQwr,['王俊凱'],不完美小孩
11877,2krFxcsxN36nU4iR50gP5r,群居動物,2krFxcsxN36nU4iR50gP5r,['簡弘亦'],群居動物
11911,7LEQm27FRiq23LeIoYLcBs,It Was May,7LEQm27FRiq23LeIoYLcBs,['柯智棠'],It Was May
12015,6MMGwoXC1LhNh4JPZmHr8U,故事很短,6MMGwoXC1LhNh4JPZmHr8U,['于冬然'],故事很短
12067,6BRWhFOlm3XUXI2NGkiDlp,Влюбилась в друга,6BRWhFOlm3XUXI2NGkiDlp,['Абрикоса'],Влюбилась в друга
12124,6qi83Ret9Yok9PfZWzmdZk,חסר/ה לי ברמות,6qi83Ret9Yok9PfZWzmdZk,"['בנאל בן ציון', 'שירז אברהם']",חסר/ה לי ברמות
12145,6aAWv8sFAh1l1buBTUgTWo,屬於你 - 電影《一周的朋友》插曲,6aAWv8sFAh1l1buBTUgTWo,['理想混蛋'],屬於你 - 電影《一周的朋友》插曲
12148,0UX43UosiXvPC82Gv3WS3P,حنيت لك,0UX43UosiXvPC82Gv3WS3P,['بدر العزي'],حنيت لك
12258,4aqlkDLLgTEdIzd6c93FFh,紅,4aqlkDLLgTEdIzd6c93FFh,['告五人'],紅
12320,7p8JJm7CT2F4k11f1DtNUa,キンモクセイ,7p8JJm7CT2F4k11f1DtNUa,['オレンジスパイニクラブ'],キンモクセイ
12324,4z3eYDNu23ZIUsdgqZENYe,شيلة العيد,4z3eYDNu23ZIUsdgqZENYe,['معاذ الحربي'],شيلة العيد
12469,2AbA0a53nHOdeLsYveGrap,Сепаратіст,2AbA0a53nHOdeLsYveGrap,['Медовий Полин'],Сепаратіст
12484,0k0zcBRE3StKssNhEF86rW,盗作,0k0zcBRE3StKssNhEF86rW,['ヨルシカ'],盗作
12738,1LR9tyaedcM6WOs5wlMmPS,不是我不要,1LR9tyaedcM6WOs5wlMmPS,['廖竟淳'],不是我不要
12794,4tP3JZw4NcKQJitu7F3SCa,Динозаврики,4tP3JZw4NcKQJitu7F3SCa,['Папин Олимпос'],Динозаврики
12854,3KvHDTjvRTONha6ZdiL2gF,Школа,3KvHDTjvRTONha6ZdiL2gF,['Папин Олимпос'],Школа
12901,6ekNzvEmnCPbIdTFjRtw6L,Бібліотека,6ekNzvEmnCPbIdTFjRtw6L,['Колос'],Бібліотека
12974,2z8CpXdUCwzoWVSmvaVDIY,خيبه,2z8CpXdUCwzoWVSmvaVDIY,['غريب ال مخلص'],خيبه
13000,0oBiGj9sbH1waaPg2kBMJt,танцуй,0oBiGj9sbH1waaPg2kBMJt,['кис-кис'],танцуй
13026,04c3lDFrcmBuZ3r8m1t3yA,Маша,04c3lDFrcmBuZ3r8m1t3yA,['СЕРЕГА ПИРАТ'],Маша
13240,0RRT94g1fduf5thBol6fYW,愛過你有多久就有多痛,0RRT94g1fduf5thBol6fYW,['蕭秉治'],愛過你有多久就有多痛
13287,3aW3bTfDp3XaEhR1PJRmxf,سحابة حلمنا,3aW3bTfDp3XaEhR1PJRmxf,['الياس السته'],سحابة حلمنا
13334,0Skysxjeqdg5tbS0Dxqcr4,天地,0Skysxjeqdg5tbS0Dxqcr4,['吴亦凡'],天地
13388,3X1QYnNKlvr0stA49SnNh6,再活一遍 (HIStory3《那一天》片頭曲),3X1QYnNKlvr0stA49SnNh6,['蕭秉治'],再活一遍 (HIStory3《那一天》片頭曲)
13527,4CLQRHj24bq6QVR0Fkmg1u,זאת שמעל לכל המצופה,4CLQRHj24bq6QVR0Fkmg1u,"['נופיה ידידיה', 'הכוכב הבא']",זאת שמעל לכל המצופה
13536,3QCAlpFtKHG9boarQDZnar,Морозы,3QCAlpFtKHG9boarQDZnar,['Мосты'],Морозы
13584,1xASDcZcb869OkSu86Wbw8,кладбище,1xASDcZcb869OkSu86Wbw8,['вышел покурить'],кладбище
13586,39GAzyZ1iTRDytx3r21kOe,I Am Here,39GAzyZ1iTRDytx3r21kOe,"['「四分衛」樂團主唱阿山', '「董事長」樂團主唱阿吉', '罕病兒林易']",I Am Here
13934,1HtdC3su8vvBFIu3sj6ab0,再一次就好 - 遊戲《記憶的怪物-命運的抉擇-》宣傳曲,1HtdC3su8vvBFIu3sj6ab0,['理想混蛋'],再一次就好 - 遊戲《記憶的怪物-命運的抉擇-》宣傳曲
14258,0pyDBJEGh4vtREyHaAhxUf,حلوة حياتي معاه,0pyDBJEGh4vtREyHaAhxUf,['عبدالله ناصر'],حلوة حياتي معاه
14316,1VIXmzlTN3HSIbwCQQaCl8,進め!そっちだ!,1VIXmzlTN3HSIbwCQQaCl8,['和ぬか'],進め!そっちだ!
14361,4ToP37LcKXf9NcRhRKSyDI,غلطة أيامي,4ToP37LcKXf9NcRhRKSyDI,['دحام العبيوي'],غلطة أيامي
14478,0nQABya2sbJNd6wgQZIZKN,На обратной стороне земли,0nQABya2sbJNd6wgQZIZKN,['Дора'],На обратной стороне земли
14788,1jJxnbKfc2AMz8uPeQQUaY,цього вартує кохання,1jJxnbKfc2AMz8uPeQQUaY,['Ігор Кайдаш'],цього вартує кохання
14847,5H2m6hz1IXedoMNR76gmPl,Abo Ahmed (Brazille Production) - Remix,5H2m6hz1IXedoMNR76gmPl,['برازيلي برودكشن'],Abo Ahmed (Brazille Production) - Remix
15055,5QQyJc2UfaRgEQ6oefVXzJ,曾经你说,5QQyJc2UfaRgEQ6oefVXzJ,['赵乃吉'],曾经你说
15138,4jkq9bTWSn4phpLK9B5DhO,Август - это ты,4jkq9bTWSn4phpLK9B5DhO,['МОТ'],Август - это ты
15161,5BWfnlk7m9paWaV22NbrX4,愛不愛都寂寞,5BWfnlk7m9paWaV22NbrX4,['任容萱'],愛不愛都寂寞
15316,0qYh1XgDjHolEc99GJnUqE,หลับตา,0qYh1XgDjHolEc99GJnUqE,['เล็ก พงษธร'],หลับตา
15325,2urzYCyon3tncXk26kpMYo,再見煙火,2urzYCyon3tncXk26kpMYo,['卓義峯'],再見煙火
15519,7GgC7Q75GhhH6a7POtWNiY,Никогда,7GgC7Q75GhhH6a7POtWNiY,['Руслан Утюг'],Никогда
15685,5cFJjA5hTPreFyfTfzejSk,Reset,5cFJjA5hTPreFyfTfzejSk,['理想混蛋'],Reset
15804,6n0rmCVUHJs7gERNwjcIjW,แด่ศาลที่เคารพ,6n0rmCVUHJs7gERNwjcIjW,['น้อย พรู'],แด่ศาลที่เคารพ
15859,2Y8ASbA7bbOMp3PpKRcu54,行星,2Y8ASbA7bbOMp3PpKRcu54,['理想混蛋'],行星
15941,3lHa9mpzoiO1E0cVnpV0FH,"改變 - Refine,the concert Live",3lHa9mpzoiO1E0cVnpV0FH,['安溥'],"改變 - Refine,the concert Live"
16145,1OHcMKXXWpS2j49Q6VSbWL,عبدالله ال فروان أجمل غرامي,1OHcMKXXWpS2j49Q6VSbWL,['شيلات'],عبدالله ال فروان أجمل غرامي
16514,1tkVLH17qwuisyRIVgBhSO,Девочка в классе,1tkVLH17qwuisyRIVgBhSO,['Джизус'],Девочка в классе
16568,4l8BOVzWbksNs7fqYzmO9g,愛多少 早知道,4l8BOVzWbksNs7fqYzmO9g,['殷悅'],愛多少 早知道
16857,4H15QMzixtVgXvaLPzXN3V,Демоны,4H15QMzixtVgXvaLPzXN3V,['Три дня дождя'],Демоны
16889,7DUPgXQK4NvmRrPFlVhfx2,ريموت التلفيزيون - امسكو وانا هعمل اعمى,7DUPgXQK4NvmRrPFlVhfx2,['احمد الدوجري'],ريموت التلفيزيون - امسكو وانا هعمل اعمى
16948,5qaHd2XUX2heyaGpi6Gukm,РАССВЕТ,5qaHd2XUX2heyaGpi6Gukm,['Джизус'],РАССВЕТ
17046,6pQe3Jg2xlzv9tjkZ4eeIX,больше не буду,6pQe3Jg2xlzv9tjkZ4eeIX,"['тринадцать карат', 'Три дня дождя']",больше не буду
17054,3ImvIWUu0LcVc53qu0ga1o,Много проблем,3ImvIWUu0LcVc53qu0ga1o,['Канги'],Много проблем
17244,6MEi7NWbRbzEpV1xTv8ksi,لاتتهمني,6MEi7NWbRbzEpV1xTv8ksi,['بندر بن عوير'],لاتتهمني
17388,3FUqp10RhCmMjyyB9extmo,花に亡霊,3FUqp10RhCmMjyyB9extmo,['ヨルシカ'],花に亡霊
17507,07JzFsUuuOW4eQR6d9iMXR,若然冬天沒有花,07JzFsUuuOW4eQR6d9iMXR,['梁釗峰'],若然冬天沒有花
17763,6NuYlT9Z9Rp5VYySISVvhZ,כמה ימים,6NuYlT9Z9Rp5VYySISVvhZ,['אייל גולן ומשה פרץ'],כמה ימים
18028,25gZnLDytflamVlqsJ1wMK,說好各走五十步,25gZnLDytflamVlqsJ1wMK,['楊培安'],說好各走五十步
18044,6o1bc10R4IfNkL3YVrxKgu,Toma Tussi Gasta la plata,6o1bc10R4IfNkL3YVrxKgu,['劳力士'],Toma Tussi Gasta la plata
18475,3smY1fF2RinJwhaxGToDSh,طخ طخ انا الطخطوخ,3smY1fF2RinJwhaxGToDSh,['حمو الطيخا'],طخ طخ انا الطخطوخ
18677,3bSfQbNJto6UqEEY7ld8XI,الشخص الوحيد,3bSfQbNJto6UqEEY7ld8XI,['شبل الدواسر'],الشخص الوحيد
18801,6Xbxtp7npEVChidq0W49AA,Недоторканна,6Xbxtp7npEVChidq0W49AA,['артилерія'],Недоторканна
19009,0SL5InQfRLwBkhmsBXlCvM,Шыда,0SL5InQfRLwBkhmsBXlCvM,['Жугунусов Мирас'],Шыда
19031,3858LZVkoxKeKelqBGHB6K,Без даты,3858LZVkoxKeKelqBGHB6K,['УННВ'],Без даты
19256,6u4pWY8cVbRnPFkMsCOtIL,時光軌跡,6u4pWY8cVbRnPFkMsCOtIL,['方鉑深'],時光軌跡
19305,2A0vCSTeOryiLsbuWDwX7G,太陽雨,2A0vCSTeOryiLsbuWDwX7G,"['理想混蛋', '郁心']",太陽雨
19309,4m8Jm6TAeBsVWkP5CotIJP,冬眠,4m8Jm6TAeBsVWkP5CotIJP,['司南'],冬眠
19482,6zgL8Krj7e501kje22i4qZ,حزين من جدي,6zgL8Krj7e501kje22i4qZ,"['غريب ال مخلص', 'بندر اليامي']",حزين من جدي
19562,0lrwDj4eSceHCAmz0tQVRN,Катран,0lrwDj4eSceHCAmz0tQVRN,['Лъчо'],Катран
