source_artist_label,source_artist_key,source_country,artist_count,artist_id,country_id
"[""S'Villa"", 'Zuma']",8112423aa8e1fe1c17ba994148dca55a344b8c3a3c6ae8827d61194208c3fad0,za,2,,56
"[""The King's Son"", 'Blacko']",6978215117cba93bc55d283272c4ca65bcf8c05b529e929ebe97d8545561e3d8,fr,2,,19
"[""The King's Son"", 'Shaggy', 'Hitimpulse']",97d1a22e92a05be3ca50bcdab08a7480de3df51a535e370f8792600a60d89796,pl,3,,20
"[""What's Up"", 'Jador']",9179aefc424cb6d07c7b3ac75a592713d97284ae187f3336ec93557caa0fea93,ro,2,,54
"[""What's Up"", 'Laura Vass', 'Jador']",3d2087e5025c8a55443c2d8e2b09f02acafb3af19e0fed8563fd8ddb8d3ecab4,ro,3,,54
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,at,2,,24
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,au,2,,5
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,bg,2,,62
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,ca,2,,12
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,cy,2,,64
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,cz,2,,21
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,dk,2,,10
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,ee,2,,39
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,gr,2,,42
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,hk,2,,38
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,hu,2,,31
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,ie,2,,16
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,lt,2,,46
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,lu,2,,48
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,lv,2,,41
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,mt,2,,61
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,my,2,,37
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,nz,2,,27
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,ph,2,,36
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,ro,2,,54
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,se,2,,2
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,sg,2,,29
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,sk,2,,52
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,th,2,,63
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,tw,2,,35
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,us,2,,3
"[""Why Don't We"", 'Macklemore']",219d1ade617b8478bf8f61f0cd4b9367a4ac674a29c5c53f1787c9054ecab4a8,vn,2,,51
"[""Yung Nigo Drippin'"", '24/7', 'Gvdjon']",881226e3f3c8a98edcc203c4ac2288511af5df15a584d89109d119bc6c7c0758,is,3,,43
"[""Yung Nigo Drippin'"", 'Bjarki Gucci']",f4cb3c57228216f16e3466d258eb2deeab31c54b6d369cfba95e3a0744df072a,is,2,,43
"[""Yung Nigo Drippin'"", 'Bleache']",098de790fba26b5da7f4ed8ca9d837162536886211a812392ebcdb6f0ab7abcb,is,2,,43
"[""דיג'יי אונלי"", 'Talis', 'Omri Sabach']",41a75e66097cf44b068c7319538726d786a6b25e82a75f4a85df9f64e94575ef,il,3,,33
"['#TocoParaVos', 'El Reja', 'Marka Akme']",3d8737a1f5197754fdd3d11e8b8acbcd04f0a8cf47c0ea9e9da2988ed5dc62f6,ar,3,,23
"['#TocoParaVos', 'El Reja', 'Marka Akme']",3d8737a1f5197754fdd3d11e8b8acbcd04f0a8cf47c0ea9e9da2988ed5dc62f6,uy,3,,49
"['#TocoParaVos', 'Gustas Mio']",859a54d4068c027878e84942fb11b442bdcfdcd2fe3dfc9cd02df05169320a33,uy,2,,49
"['#TocoParaVos', 'Lionel Ferro']",f181f286300aa932335eb7c2ebad658257430ff842837ab0d5653b7bedfdc196,uy,2,,49
"['#TocoParaVos', 'Los Bonnitos']",91780fba0e17ac4d0baef799962d099ab0742c8759d72129c33791adaf88cf11,ar,2,,23
"['#TocoParaVos', 'Los Bonnitos']",91780fba0e17ac4d0baef799962d099ab0742c8759d72129c33791adaf88cf11,uy,2,,49
"['$NOT', 'A$AP Rocky']",b47a0576278ea8ef06855774cc3d4bf278fa297fc471a81608b5ad7edfb713c8,ee,2,,39
"['$NOT', 'A$AP Rocky']",b47a0576278ea8ef06855774cc3d4bf278fa297fc471a81608b5ad7edfb713c8,lv,2,,41
"['$OHO BANI', 'Ericson']",be686abe7856a6c797af278d892382ae676bb79da8caedad98479769a4a8cafc,de,2,,8
"['$OHO BANI', 'Longus Mongus']",a5f3ceb81c1b53c16058062057e18f04be32afe6d30f4a62d68b53f751f60cc9,de,2,,8
"['$hirak', 'Bizzey', 'Dopebwoy', 'Bokoesam']",3b8fef7655fe6d15a4766f1038f54138569427b234269e01fd5dbc45f8176263,nl,4,,6
"['$hirak', 'Cristian D', 'Boef', 'Bilal Wahib', 'Ronnie Flex']",7d8f5540fab6ac8fd4ffec19ba39f2e8f0334d702d168dedbda8dd1826a7c383,be,5,,11
"['$hirak', 'Cristian D', 'Boef', 'Bilal Wahib', 'Ronnie Flex']",7d8f5540fab6ac8fd4ffec19ba39f2e8f0334d702d168dedbda8dd1826a7c383,nl,5,,6
"['$hirak', 'Cristian D', 'Ronnie Flex', 'KM', 'Emms']",eaf5066eafb028609714d846296d1ab7b05d204530aecdad0ddcf8be57f2b631,nl,5,,6
"['$hirak', 'Henkie T', 'ADF Samski', 'Boef']",4e4e4b497ccf71df6b1d9146b19ca7f9fd97003e01335500cbc559be9c10176b,nl,4,,6
"['$hirak', 'Idaly', 'KA', 'Willem']",4840fbeb354a16e0b46b4bf05a75447c5312d79444cc1e8b029c85881c60ebec,nl,4,,6
"['$hirak', 'Jonna Fraser', 'Lil Kleine']",3316e826a44a84d47f0555ab785eb8df56b62807971a9291b8541b8909c01520,nl,3,,6
"['$hirak', 'Kevin', 'Lijpe']",be064e438a8875f0b3b0e1f4ad77081562c6f86d349c681a5419866fcacab4e3,nl,3,,6
"['$hirak', 'Ronnie Flex', 'Yssi SB', 'Lil Kleine']",86905eaeb076177f70bc7dd51e36e9942d3dd534409c54f2e7ffb5c61a275bee,be,4,,11
"['$hirak', 'Ronnie Flex', 'Yssi SB', 'Lil Kleine']",86905eaeb076177f70bc7dd51e36e9942d3dd534409c54f2e7ffb5c61a275bee,nl,4,,6
"['$hirak', 'SBMG', 'Boef', 'Lil Kleine', 'Ronnie Flex']",328cd48a4072da1637df4cefaa2cc4a0c269816f0789b28f2a94c82bfeba709a,be,5,,11
"['$hirak', 'SBMG', 'Boef', 'Lil Kleine', 'Ronnie Flex']",328cd48a4072da1637df4cefaa2cc4a0c269816f0789b28f2a94c82bfeba709a,nl,5,,6
"['$hirak', 'SBMG']",36507933835990f7a6ccd1c10406a566cd4257209eafe71274ec6db9bf921147,nl,2,,6
"['$kyhook', 'Morad']",423610345586761e5b0e0e6fbcad56d35d7732548243e64ec8132d22e7826fdc,es,2,,9
"['(sic)boy', 'JUBEE', 'Chaki Zulu', 'KM']",4edb7ca9154d3d791e6acbb98c30a251ce68bf51533ffb9a0d5f9d5f7d4a2446,jp,4,,22
"['(sic)boy', 'KM', 'vividboooy']",a7237c32460480d32e943e6b5547bb16728731472b97fd0716ec69f8df29c8de,jp,3,,22
"['(sic)boy', 'Wes Period', 'KM']",619cb1abb4ba890471da2b217c85a3d945dfd8967b34d1ccfd363f19bad494d9,jp,3,,22
"['.Feast', 'Rayssa Dynta']",b38dfc49a0bc706e01c096b03604ce64239b99ca541facae80fa3ec4d00ba103,id,2,,44
"['01099', 'CRO']",ab0236221909a086f1f40c9375fdf27977efb2ed44919e0cb48f2928dd3dfb27,at,2,,24
"['01099', 'CRO']",ab0236221909a086f1f40c9375fdf27977efb2ed44919e0cb48f2928dd3dfb27,de,2,,8
"['01099', 'Gustav', 'Zachi', 'AVO']",0fb3be0c1d8cac40bfa4bdd22698a82140734b4facfa286d64e78ffbb84dd76e,at,4,,24
"['01099', 'Gustav', 'Zachi', 'AVO']",0fb3be0c1d8cac40bfa4bdd22698a82140734b4facfa286d64e78ffbb84dd76e,ch,4,,17
"['01099', 'Gustav', 'Zachi', 'AVO']",0fb3be0c1d8cac40bfa4bdd22698a82140734b4facfa286d64e78ffbb84dd76e,de,4,,8
"['01099', 'Gustav', 'Zachi']",315130ca13c2d479cf50d1cf58d65115817d7efc5d89756db7f766be07131512,de,3,,8
"['01099', 'Gustav']",3b802e413bb83272720e852cdf1eafc1ccafcb50a05fd81a126caad1306d27ba,at,2,,24
"['01099', 'Gustav']",3b802e413bb83272720e852cdf1eafc1ccafcb50a05fd81a126caad1306d27ba,de,2,,8
"['070 Shake', 'Ralphy River', 'Hack & Tree']",37f1fefc01d151351b0729d520695e8c5855b07d5885cb4d00a8383dd6593487,ie,3,,16
"['070 Shake', 'Ralphy River', 'Hack & Tree']",37f1fefc01d151351b0729d520695e8c5855b07d5885cb4d00a8383dd6593487,mt,3,,61
"['1.Cuz', 'Asme']",182f0e66c2daf85f1cfaafd006da05b98e4c4ff8435d353e35b6d0a9540cb590,se,2,,2
"['1.Cuz', 'Einár', 'Dree Low']",a174fbb168eb7417b38ed70fa476ab14501b126bc58bb572380deecf84f6f67c,se,3,,2
"['1.Cuz', 'Einár', 'Matte Caliste']",0a496b2723099e417b3f105c68c25d47fbaf80661b983171217585a19e3cadd4,se,3,,2
"['1.Cuz', 'Einár', 'Yei Gonzalez']",4dacd715dceb96a2f1f2e6930e8f4183ac1b33916a5eac4ef779a51bb2068bdf,se,3,,2
"['1.Cuz', 'Greekazo', 'Yei Gonzalez']",fdc8f53c02d08a589dd4ff82b1bff0202e8b736a2e90a265f6219525fb48f130,no,3,,7
"['1.Cuz', 'Greekazo', 'Yei Gonzalez']",fdc8f53c02d08a589dd4ff82b1bff0202e8b736a2e90a265f6219525fb48f130,se,3,,2
"['1.Cuz', 'Matte Caliste', 'Einár']",082fb637904eeb244475667a991632040d5101e9bce7fd70237df3c704acaa95,se,3,,2
"['100 Blaze', 'Koba LaD']",f51d564bd945aacc08e7a8af9bce61398d862237296c5c99173987023f64c2c6,be,2,,11
"['100 Blaze', 'Koba LaD']",f51d564bd945aacc08e7a8af9bce61398d862237296c5c99173987023f64c2c6,fr,2,,19
"['100 Blaze', 'Koba LaD']",f51d564bd945aacc08e7a8af9bce61398d862237296c5c99173987023f64c2c6,lu,2,,48
"['100лиця', 'SKYLERR']",7a30bf1c1a55ce24a64a3575e5a4af65e654a91ce22820716bd719721faba2a4,ua,2,,72
"['104', 'MiyaGi', 'Skryptonite']",b8aff5837d1bb0bc675b566830bf635446685ae6b30c66ac0d54d3d2990b09d2,ru,3,,71
"['104', 'MiyaGi', 'Skryptonite']",b8aff5837d1bb0bc675b566830bf635446685ae6b30c66ac0d54d3d2990b09d2,ua,3,,72
"['104', 'Truwer']",de3fc827adc63b45a0df131943dc47a1d4ec700e91da71b8f65c11d92a0d82ed,kz,2,,76
"['1096 Gang', 'Guddhist Gunatita', 'Youngwise', 'Polo Pi', 'Ghetto Gecko', 'Luci J']",49eb2ac42b98957aa4efc90df04083fadf2e6ee5ca1d1de7348a53fff9886bed,ph,6,,36
"['1096 Gang', 'Guddhist', 'Youngwise', 'Polo Pi', 'Ghetto Gecko', 'Luci J']",8116a28df74ac34ae0243cbeeb709afad95eb495384cb76db0b4e9c81b0d5db7,ph,6,,36
"['10AGE', ""Ramil'""]",d010be8fcfe4bf7d735290949202c95cc6b5cefa1a4faff9f4e1fda2629bd519,lv,2,,41
"['10AGE', ""Ramil'""]",d010be8fcfe4bf7d735290949202c95cc6b5cefa1a4faff9f4e1fda2629bd519,ru,2,,71
"['10AGE', ""Ramil'""]",d010be8fcfe4bf7d735290949202c95cc6b5cefa1a4faff9f4e1fda2629bd519,ua,2,,72
"['10cm', 'BIG Naughty']",71feb06eeff3c2c2768557a99d4f943ca049dda872737f3b80f6f7014a34ac75,kr,2,,69
"['10cm', 'LEE SUHYUN']",8ad52b6034fb25aeeb6ea73cb4e21cd14941d771071ffb9d6dc375d69e29773e,kr,2,,69
"['11:11 Music Group', 'Martin Arteta']",34cae9bb5bda99e012fa1d5a85f9f895dfcc0d22c11b994138fe67912684711d,vn,2,,51
"['13 Block', 'Niska']",888ad8db0c69865b3c65f0cb029d1c5daffffed55f4866d9152dd6aedb1a33bf,fr,2,,19
