source_artist_label,source_artist_key,artist_count
"['Officixl Rsa', 'Mid9t', 'Benzoo', 'De-papzo', 'Papiino SA']",9051c9bb56b97c1aa2ea514f1034a6244b7fc81cada98326b280100a2e30eb2b,5
"['Mole', 'BARBEL']",3e931b218dc62128bb4cb402822b855dcfea56bf3f21609113849a4297815fcf,2
"['NATTAN', 'Felipe Amorim']",4aed7ffe43c8220f2ece1deb2578a8ed3970d492acfad5a00689552fb32cf8ff,2
"['Ian', 'Aerozen', 'FLORIS', 'Oscar']",bdc79fbb999deffca96799c5d29669a9276366367ab09bb4939344f81731ca80,4
"['Bir', 'Dhanju', 'thiarajxtt']",c559cf7a4039d292826aed5ad5c978a716e780e723dccdf3386abb3c315a63b3,3
"['The La Planta', 'BM', 'Alejo Isakk', 'Locura Mix']",048a75fad0f722d36d9428f8b040ed8bc0133498ffef014e7e571bea6d7432e9,4
"['Sachet-Parampara', 'Sachet Tandon']",12f2b08a463fab02afd7a35026e694453486ed289e6337bc3909746adad68834,2
"['Full Trunk', 'Jimbo J']",3ac5e46f2cba8a84703130b6ff30c32087b68be1e23231d1c634abc5d90c5d64,2
"['Sherman Smith', 'Quimico Ultra Mega', 'Iski']",bed23f77755392baa293ccf1f7510cbec7e581c09d9ec3e04ebb38b232fa6858,3
"['MC Cabelinho', 'Victor WAO', 'Bairro 13']",e51accd7c85a6a48d6c02158e68cca7ea2ba6458d022f38453ce5a39e006c103,3
"['Jasbir Jassi', 'Badshah', 'Dhvani Bhanushali', 'Tanishk Bagchi', 'Jassi', 'Shyam Bhateja']",455dd1769b6821a94c2baa1e4dd82b86fbf7097f6b151de5224958554688c54f,6
"['venbee', 'goddard.']",d525b462cbc52184a7f5d7edac1f40eec348869d586987889d70ee8215f21f6c,2
"['Abdul Hannan', 'BAIG']",2dee832f065938d2988b9d520a1a97f225928ba00f8c408601ec9817faa3a6c6,2
"['David Guetta', 'Nicki Minaj']",329c5a77e828e144affceb0bde6299dc049851ad7efbc38284f2400b775edfcb,2
"['Marwan Pablo', 'Molotof Music']",c5606254e13ec21c95dd720b3af4335e3c514b72b3acb3ebbe23a12584540c1a,2
"['Osher Cohen', 'שחר סאול']",c76e64c7d17767fccd36dd64a17ad422250df9c46f26200f229ad8c5f1def8a0,2
"['MEDUZA', 'James Carter', 'Elley Duhé', 'FAST BOY']",b91b9402590404c04ec7034b9d1cba0ecf12a5754748041053b4297b8150f95d,4
['Saint clara'],fce52fbce4cc3fc9c0ae5cead9b96d78ae135d5aba5a905ac823d5b7d6153085,1
