source_track_id,track_name,artists_raw
02ILwrgX3DDx9mclP2EI41,I'm Ready,['AJR']
02LZ1fGJE8fB56yTlCVMEV,Switch,"['Iggy Azalea', 'Anitta']"
02MWAaffLxlfxAUY7c5dvx,Heat Waves,['Glass Animals']
02NGImz0Ovl8XhdkSDLRbr,SWITCH IT UP,"['Knut', 'Alex Lopesz']"
02PBAJJd2EPetkC3fbF3uv,Ça va aller,['La Synesia']
02QztbIMzjvPNQnoECkydU,DOMENICA,['Achille Lauro']
02RSRRHHJ0hLQfMQrwoG40,Nordnorsk julesalme,['Hekla Stålstrenga']
02SbQgZbzMoylPoGr32ugF,Drama,['IU']
02TdJAx7jP57xQZTG4NGV8,NERVOUS,"['Greekazo', 'Mackan']"
02Vb9vfZUmqAKNhQwFjPSZ,I LOVE U,['WINNER']
02WDuAXXKumemrvsmrVBvH,Wavin' Flag - Coca-Cola® Celebration Mix,"[""K'NAAN""]"
02WacdrRpm4zlP8H7X6bnQ,Dancing On My Own,['Calum Scott']
02b5L9jExmkRTdUTqXFzmR,Primadonna,['MARINA']
02em5H1JIgXssJzQKN6h4M,Run,"['Becky Hill', 'Galantis']"
02i751eiU2c0lKnvBTWuD8,Groupies,['ElGrandeToto']
02ij9yuZr4jjdTB4qwsFDe,J'me balade,['RK']
02itaCXOdC54J0ISjqqFAp,All Around The World (La La La),"['R3HAB', 'A Touch Of Class']"
02jLfqc9gMo8PkHEGHY3OT,Si Te La Encuentras Por Ahí,['Feid']
02lGHA7bFFplYLihnUWTx8,Tequila,"['Juanes', 'Christian Nodal']"
02lrLUFGeL86bsMjkGe7Gs,Online,['Lo & Leduc']
02mMmj7gfNXb7Z1OuqgoYj,COSA NOSTRA,['Branco']
02t5gEURbZvQ5q3xlqzBLq,Mode avion,['Kalash']
02uCWoOcM2rPNa23OCoi2n,Familie,['TopGunn']
02vZaMYB8dM8lF9AN1KzJs,Desert Eagle,['ZK']
02vtatL26ynCaZ6VWhp1y4,Terrified,"['Thomas Deil', 'Natalie Major']"
02wf1NAQdIpe5S1NJYPwvB,Aise Kyun - Ghazal Version,"['Rekha Bhardwaj', 'Anurag Saikia', 'Raj Shekhar', 'Mismatched']"
02wijRhOIJdJ8VKM8N9voP,Bellakera,"['Cris Mj', 'Fran C']"
02y4CADbBLKy1dpFsSeay5,Reflection,['Fifth Harmony']
02y8kYqCkzAxVqLEsnIXNS,Regen,"['Ali471', 'MERO']"
02zBhKZIES8MMX9lvo1WKQ,Make You Mine,['Maxi Trusso']
02zU2NCUwtt4z8SRHRWsRL,Ya Maulana,['Sabyan Gambus']
0341MMlmVNkWqwtBVbTzYh,Mis Disculpas,['Residente']
034EMd06oEtPZ98wsK4p2t,Ego,['Boef']
034KyQEk7IhbLtniVhBErj,17,['Pink Sweat$']
034Rg0D7ftf7I7NRbZpEKL,Panama,['Ricky Rich']
034jxfixe0Gogd6p0reMnP,Hollywood,['RIN']
03B2SfXuvDh1m9F4tqrX07,Skin,['Sabrina Carpenter']
03BTqZzp7T65v9LvMDdrtU,Lost Boy,['Alex Järvi']
03ClGz3IWepPxLcVlGSC5Q,Keine Tränen,['badmómzjay']
03DxO8kGNrEGr1VjPSdQs2,Lie,['Kizz Daniel']
03ERnTvSV5fy8WAyvA4uNP,Big Gangsta,['Kevin Gates']
03JMjrsnUgeZNJ5yUJgWbL,Grande,['Nash']
03Kk4fPKQ92N2PcLEeSnVE,Ayo,['Beko']
03LqgmpDNqs6ZiJ5nObWAi,Gleði og friðarjól,"['Siggi Pálma', 'Pálmi Gunnarsson']"
03MIttKs9ysdcS54D2a3uq,Losing You,"['Mavins', 'Johnny Drille', 'Magixx', 'Crayon']"
03MWuLDoHdzZltJGvOiX5g,Vietnam,['Marpo']
03RtgaknjqqNhZQbgftU1Y,Drama Queen,['Josef Og Elias']
03TPcM9vWUmc8y6LkJAzwJ,No Love,['АДЛИН']
03XPfQ7C3PuocYRQy3yR4l,Equilibrio,['Fabri Fibra']
03XktnlHaenNj1tJP8zQFs,Loyal,['Ant Wan']
03Xxv6W6ytlrIYOiwcr0NZ,Selfmade,['Ekipa']
03YUNUpazIbzwqJq2YSBvB,Kilometre,['Burna Boy']
03a359wbiUsjN9h6yzXvmS,She Don't Give a Fo,"['Duki', 'KHEA']"
03aR5zWoCr3d3MADuBCUEA,Cupid,['Afroto']
03bAa6wp3axgPMfLdvH4Kn,Lo Siento,"['Pournaras', 'Yze']"
03fs6oV5JAlbytRYf3371S,Everything I Love,['Morgan Wallen']
03iCbZaM4OkRR4We6wIzvx,IDOL,"['BTS', 'Nicki Minaj']"
03iLdNoZRNJCGEfY3eo06v,Bad,['Batistuta']
03mjb0H1vNx4GSLXFvJNbm,Airpods,['makko']
03o8WSqd2K5rkGvn9IsLy2,Autobahn,['SCH']
03t3IRKAyXPGeAWCidF03q,Hurt Somebody,['Noah Kahan']
03tJhmP71vPD7pIenJlWJ6,Intoxicated - Radio Edit,"['Martin Solveig', 'GTA']"
03tqyYWC9Um2ZqU0ZN849H,No Hands (feat. Roscoe Dash & Wale),"['Waka Flocka Flame', 'Roscoe Dash', 'Wale']"
03vhQEsvQLyAEvHYIXkD3i,Hit My Line,['Seorsia']
03xBCerMfU8ZwmajE4BgPp,Raw,['Sigrid']
03yKEFruN3BS2coglBtt2N,Rubicon Drill,"['Laddi Chahal', 'Parmish Verma', 'Gurlez Akhtar']"
041yCPAEGPSIKv3p1P5NP0,Criminal,"['Jala Brat', 'Buba Corelli', 'RAF Camora']"
047xSG6BBbo0TYFiQ7Ps6i,On Lock,['SFB']
04B2aL2KfXGu2ioE30BdjH,Sosa,['Kaaris']
04C965GjVjZ5QkqpykklEB,David,['Blxckie']
04CqLjewJiSAqM210vZAmT,River,['Miley Cyrus']
04DQPJA3FWKdIvDaMsnMdv,Pirate,"['Ninho', 'Hös Copperfield']"
04DXHeE8UTifaIhtmiXn39,Lolita,"['Reckol', 'KKendo', 'Ozorginal']"
04EBsGEXJnq4iQtB0W6cUW,September,"['Bonez MC', 'RAF Camora']"
04HeNxRRVjcwctfp2K2kMu,the ride-,['Lil Yachty']
04HzRAn3BJaIvmhpvc1GVT,Sky,['Emilie Nicolas']
04JVwAItboGpDhDgC4fNta,Perra,"['J Balvin', 'Tokischa']"
04LVZtryvoQbnthuyNcgPX,Eșkiya,"['Murda', 'Summer Cem']"
04Mm3BineGdy0oNv8NivQT,Don't Break My Heart,['Binz']
04MtrOLTMR7GhQbQ7AYrjy,On The Low,"['Aliyah', 'Architrackz', 'Henkie T']"
04OmdxSSYO6xzubqpBiboY,Carry You Home,['Zara Larsson']
04Oynte1xZfgnPh8kXhmE7,Rumba,['Rochy RD']
04Reou3HoLagPd6fjjoY1H,PIN,"['TACONAFIDE', 'Quebonafide', 'Taco Hemingway']"
04TUrMZID0e5VdZgUqoaTZ,Next,"['Ypo', 'Mike G']"
04TshWXkhV1qkqHzf31Hn6,Lemon,['Kenshi Yonezu']
04UimfyX05vlvzOvpFGu4w,Adieu,"['Lynda', 'Dadju']"
04YFRczeeieYRlsrPJ8hjh,Real Life,"['Duke Dumont', 'Gorgon City', 'NAATIONS']"
04YIAsQ8XRapLAhxs8Qkjm,Gorzka woda (prod. Auer),['Pezet']
04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,['Bebe Rexha']
04cMUwER7r2VwqMCj4kYJ9,Devil Eyes,['ZODIVK']
04cd1MHVq1D8v1nuTZoCdv,Puntos Suspensivos,['Piso 21']
04cqASbER6wLs0me9FszxL,Mili,"['Ian', 'Amtilb', 'Simiz']"
04cxAqa9ZgLwvEskosNVsB,XO,['Beyoncé']
04czWbqg96KSO8Szz8d0zp,Lies,['Jesper Jenset']
04eJ0rjwPPacf2pkRdedct,Angel,['Juanes']
04emP3rMNw3yi1E7Q4ZoTI,Bandito,"['MamboLosco', 'Nardi', 'Finesse']"
04fnJT81xLcyFeWSH5hCQF,One Life,"['Sturla Atlas', 'Aron Can']"
04mf1OkXHZ6TPBNM9sBcSm,Famous,['Kanye West']
04ndZkbKGthTgYSv3xS7en,Cupido,['TINI']
04o5XzF41xA6NyMDcBW0oh,Many Men,"['23', '01an']"
04ojE1leP1BODeTr7EadIe,Agapi Mou,"['Adam', 'SIMONA']"
04pyEgfLGPt3YUjZ9wQpOB,零 -ZERO-,['Masaharu Fukuyama']
04qqfjPWDqrg9q3HTToCfZ,Wish,['Urban Zakapa']
04t8HpnAGcLaWnBwzVR7H1,Oh Santa!,['Mariah Carey']
04tNnPKXHsDGtFA0R4HtXk,All That She Wants,['Soul System']
04wFYPd2i6tXhatf7yTQfr,Hollywood Hills,['Lil Lano']
04woIMsNe3heO7JRgsR0cL,Don’t You Know,['Amarosis']
04xCRonPUDOmZsK6BxVSke,Outro,['Einár']
04xMtI1rFMVhV2daKTvlwL,คนถูกเท(Dejavu),"['O-Pavee', 'URBOYTJ']"
04xYbJK43PdehhM2AA4fhi,Selfish,['KANGDANIEL']
04yRkePgHWUARIDPquxPeR,Sau Tất Cả,['Various Artists']
053qTe4BAvBTHdZaNrY76E,100,['Viktor Sheen']
057o3R79zVOxz69JSNxaFu,Karaoke,['Herrat']
059bcIhyc2SBwm6sw2AZzd,Te Vi,"['Piso 21', 'Micro TDH']"
05ApNVIBssPKqyyKiydA6D,Plastic,['Viktor Sheen']
05BV6mT1vqq2jkya6xrwC5,all i want for christmas is you,['Eden Elf']
05BgC2247XGi8ySwBzOO0o,Heartbeat,['Carrie Underwood']
05BpaUYj7dL1vsE2oNsTzV,enemigos,"['Feid', 'Miky Woodz', 'Juhn']"
05CS4vtvc5hbbofZyo3xhB,Uçurtma,['Ceylan Ertem']
05D3jh8aVFZUlPbx4mklmb,GANGSHIT,"['Rami', 'Mackan']"
